"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",0,0.900577622964062,-1.13686498271823,0.287001217430151,-0.958532440815671,0.25676640027305,-0.0773668414501599,2.90588715968533e-29,0,4.21137368806377e-29,0,0,0,0,0,0,0,0,0,0,0,1.19445689629493e-28,-1.12980832110939e-28,0,-9.32474812663464e-30,0,0,-1.83767762046619e-31,0,-3.27068625958363e-29,-0.0106714434053441,0,0,0.127650742578544,0,0,0,0,0,0,0,0,0,2.90950797622655e-29,0,0,0,0,0,0,0,0,0,0,0,0,2.42722680237955e-29,0,0,0,0,0,0,0,0,0,0,-2.29378551276417e-29,-2.78449426008725e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07256390017936e-29,0,0,0,0,0,0.0198599493888518,0,0,-3.0854875717041e-29,0,0,0,4.39904167483536e-31,0
"2",0,0.509463376721592,-0.942821416777676,0.0667419896844438,-0.706822298064345,0.0297253802885376,-0.39928688669449,0,0,0,0.221443446249373,0,0,0,0,0,0,0,0,-1.38387597511387e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.01212574732976e-31,-1.53810565908241e-29,-7.93754910069743e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.95494765190432e-30,0,-2.66778336571673e-29,-0.222136806173411,0,0,0,0,0,0,0,0,0,0,0,3.0033175408783e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86133764569535e-29,0,0
"3",0,0.347742591881321,-0.808120078446192,0.211579470577746,-0.374078943967094,0,-0.100597328960981,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195177817647988,0,0,-2.7477303171438e-30,0,0,0,0,0,0,0,0,0,0.453539901346882,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0810358718868776,0,0,-6.23792164703213e-31,0,0,0,0,0,0,0,0,0,0,2.11214751004539e-30,0,9.46667676752397e-31,0,0,-0.103262785734703,0,0,0,0,0,0,-5.06333114952934e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.21980160050811e-30,0,0,0,0,0,1.39408037735839e-30,0,-7.23727164661298e-31,0
"4",-0.073703180973335,0.43787220572355,-0.689784853640082,0.279326296608218,-0.462400790598147,0.127259237245627,-0.150903494562486,0,0,2.1683815980521e-30,0,0,0,8.33081909632691e-30,0,0,0,7.88852481919812e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133606129337597,0,0,0,0,-1.59710099304096e-30,0,2.71210799564096e-30,0,0,0,0,8.35143639744924e-31,0,0,-2.63290130841579e-30,0,0,0,0,0,0,0,0,0,0,3.82301015922748e-31,0,0,0,0,0,0,-0.180375377497789,2.61783482375686e-30,0,0,-7.63412225791851e-30,0,0,0,-6.45958117580389e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03827926864648e-30
"5",0,0.414802087264963,-1.0227890945431,0.447480217587299,-0.54287905482994,0.28382739473691,-0.0610789145225833,0,0,0,0,0,0,0,7.49963271661514e-31,0,-1.41247145782507e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756439153845649,0,-2.5253822808342e-30,0,0,0,0,0,0,0,0,0,0,0.399468494946385,-0.032769576972341,0,1.15838747126446e-30,0,0,0,0,0,0,0,-0.047169544569504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64869374532855e-31,0,0,0,0,-3.2567946560451e-30,0,0,-2.60458910492286e-30,0,0,-1.39063096649728e-30,2.4004240817998e-31,0,0,0,0,0,0,1.1047949179269e-30,0,0,0,0,0,0
"6",-0.0741957347861928,0.328707285255048,-0.701385573682593,0,-0.104761401311992,0.111112733665349,0,0,0,0,1.69178350653561e-29,4.56841150495636e-29,0,-4.58961962924113e-29,0,0,0,0,0,0,-5.8943106319563e-29,0,1.72995711574712e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18385027666298e-29,0,0,-0.198359186181397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128592583831847,0,0,0,1.42355639815655e-30,0,0,0,0,0,0,0,0,1.14460736289923e-28,-0.1491347873352,0,0,0,0,0,0,0,0,0,-0.074508603438871,-1.82130518332041e-29,0,0,0,0,0,-4.32588047813702e-29,0,0,0,0,0
"7",-0.0116982774951396,0.386682488295264,-0.583354926996143,0,-0.252272891157438,0.0725819898307671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163845148187588,0,0.0361547770429238,0,0,0,0,0,0,-0.168928135084149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9193350711597e-31,0,0.168482562745428,0,0,0,0,0,0,-9.59111773526642e-31,0,0,0.00487567268100706,0,-1.53612061166081e-31,0,0,-9.2511913243902e-32,0,0,-6.24798494763828e-31,0,0,0,0,0,0,0,0,-0.0833104348051846,0,0,0,0,0,0,0,0,0
"8",-0.131261009373001,0.85410091114143,-0.951386995673748,0,-0.555942130027653,0,0,0,0,0,0,8.53904919552743e-30,0,0,0,9.25281472610405e-30,0,0,0.0234975977033638,0,0,0,0,0,0,0,-2.85172086235378e-30,0,-1.62162272921523e-30,0,0,0,-0.0619754590660172,0,0,0,0,0,0,0,0,0,0,0.063982178034767,0,0,0.0100118065891798,0,0,0.0887803023548455,0,0,0,0,-2.75478698367214e-30,0,0,0,0,-2.14324879137937e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296588698067625,0,0,0,0,0,0,0,0,0,0,-3.38112466441382e-30,0.0597270856702952,0,0,0,0,0,0,0,0,-1.40308569592992e-29,0,0,0,0,0
"9",-0.247081723464114,0.841152759936942,-0.55555482396972,0,-0.187849559432979,0.480363540376871,0,0,0,0,1.1565364708856e-29,0,0,9.39375163809071e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127605361018304,0,1.87346528252816e-30,0,0,0,0,0,-0.0508875524965548,0,1.16069540517054e-30,0,0,2.17786775408863e-30,-3.93507655084086e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445018351158861,0,0,1.12562369946462e-30,0,0,0,0,0,0,0,-4.97375572804395e-30,-8.82085637568861e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-0.354628483455293,0.760497492654666,-0.501824339115369,0,-0.154276742087815,0.135965088024342,0,0,0,0,0,0,0,9.75365576288654e-30,0,0,0,0,0,0,1.00000804184334e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0386639892010033,0,0,0,0,0.216148104772523,0,3.2827711385731e-30,0,-5.00220061597558e-30,0,0,0,0,0,0,0,0,0,0.413512995360654,0,0,6.05430423848353e-31,0,0,0,0,0,0,0.0110960373819542,0,0,0,0,0,0,0,0,0,0,0,-7.07155011510121e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
