"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",0,1.45992527417175,-1.87847802767288,0.51927140997612,-1.52731911565907,0.540587575029625,-0.339188046614462,0.0614903627742645,7.3535523994583e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47748588851282e-28,8.97704565411606e-29,-5.38884694120752e-28,0,-6.468625224041e-29,0,0,-0.285120967867008,0,1.81367883173194e-28,0.329619146603789,-7.02092912942805e-29,0,0,1.56401473273057e-28,0,0,0,0,0,-4.04686109420602e-28,0,0,0,0,0,0,0,0,0,0,0,3.83124652680975e-29,0,-0.220185430864722,0,0,0,0,0,0.0195390368029352,0,0,0,0,0,0,0,0,-0.0276085415716394,0.111303891113923,0,0,7.40744455494964e-29,-0.0853038785595036,4.5828247641173e-29,0,0,0,0,0,0,9.22404954154254e-29,0,1.45697082066988e-29,0,0,0,0.266268170252387,0,0,0,0,0,0,-0.0420710177661588,0
"2",-0.0764984683667025,1.58384571919613,-2.30159764725059,0.526901049043583,-1.65191402125326,0.567526593834494,-0.935641761768576,0,0,0,0.516916786530415,0,0,-0.0723042363513337,0,0,0,0,0,0,-0.130734319789229,0,0,0,0,0,0,0,0,0,0,0,0,0.211846076106212,0,0,0,0,0,0,0,0,0,0.0615616419722753,0,0,0,-0.130064471861945,0,0,0,0,0,0.415145298270588,0.164739740860962,0,0,-0.536857020531765,8.8309386794916e-32,0,0.115620122004532,0,0,0,0,0,-0.665597478186596,4.09410157513631e-29,0,0,0,0,-0.0957622705322059,0,0,0,0,0,0,0,0.27533598211183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71299082063586e-29,0,0,0,0
"3",-0.45117119070928,1.82328532523957,-2.53908188241803,0.687599995261193,-1.56072631673488,0.615011759067005,-0.886864725665872,0.0238010914461038,0,0,0,0,0,-4.04138798862173e-30,-2.16000239595569e-30,0,0,0,0,0,-0.522899354814948,0,0,0,0,0,0,0,0,0.0500503137008921,0,0,0,1.14011167047644,0,0,0,0,0,0,0,0,0,0,0,0.0212621332333729,0,-0.649070527157129,3.08736180807056e-30,0,0,0,0,0.162342397540348,0,0,0,-0.689062242835766,0,-0.242384139925525,-4.3099977271123e-30,0,0,0,0,0,-0.851264651922319,0,0,0.162513568001529,0,0,0,0,-0.0401335629587265,0,-1.10272504839141e-29,0,0,4.09889553514077e-30,0,0,0,0,0,0,0,0,0.475985552377084,0,0,0,0,0,0,-3.96683884533168e-30,0.230256817545096,0,0,0
"4",-0.335918419425481,2.30170741460375,-2.89041057077643,1.01849476563641,-1.96058298967785,1.05912500295325,-1.17913415438545,0,0,0,0,-5.36441424536466e-27,0,-0.374281721380327,0,0,0,6.41586952748496e-27,0,3.22490908359506e-27,-0.450242090800928,-2.66687499827931e-27,0,-2.13093679772391e-27,0,0,0,0,3.01074858761746e-27,0,7.24972351255492e-28,0,0,0.595287664688619,-8.55814426106786e-27,0,0,0,0,2.12092203129004e-26,0,0,0,0,0,0,0,-0.184078223543535,0,-2.05876915430363e-26,0,0,0,-1.50018097092001e-26,0,0,1.57209735001972e-26,-0.667185349497929,-0.186340219181073,0,0.00195549207236486,0.144732105324239,0,0,0,0,-0.848303400229407,-0.145313780053029,0,0.184509740505088,0,0,-0.159226110207936,0,-0.109449152821629,0,0,1.11145502399386e-26,0,0,0,-0.0896204617100457,0,0,0,-8.12010631132741e-27,0,3.67448132588824e-27,-7.37216165013797e-27,0,-3.34822650578589e-27,0,0.0628302883077195,0,0,-1.4148624834422e-28,0.225571612430064,0,0,0
"5",-0.296751081763457,1.57399963334613,-2.75856646561248,1.21152649897318,-1.52515416726047,1.0419297680134,-0.481273898323661,-2.85669950144086e-29,0,0,0,0,0,0,0,0.163686293652944,0,0,0,0,-0.390826820287592,0,0,0,-4.68998777245907e-29,0,0,0,0,-1.74823376157589e-28,0,0,0,0.458101096847406,0,0,0,0,0,0,0,0,0,-2.73392538635433e-28,0,0,0,-0.523618250425913,0,0,0,0,0.0615159611072023,0,-1.1855694756228e-28,0,0,-0.799961269693846,-1.32485082669624e-28,0,0,0.167991721558596,0,0,0,0.530948124457139,4.37320479621691e-29,-0.00021992613722538,0,0,0,0,0,0,0,0,0,0,0,0,0.211327490112826,0,0.0670801728364546,0,0,0,0,0,0.0209266540183611,0,0,0,0,0,0,0,0,0,0,0
"6",-0.569075407386855,0.788706661204828,-1.42705823712281,0.476611701248554,-0.406268078100178,0.44645818688492,-5.53949252702587e-28,-1.21007762168048e-28,0,-3.75386593488853e-29,0,-0.0860409976841605,-0.0223732022377758,0,0,0,-2.97948925801803e-28,0,0,0,0,1.26522344642693e-29,0,-2.34163832671024e-28,-0.138098146156588,0,0.0137809109133474,0,0,-2.85854416115327e-29,0,-2.11071019431656e-28,0,0,-6.53781688015219e-28,-0.184425721144759,0,0,0,0,0,0,0,0,-0.352280019650451,0,0,0,0,0.040330905969341,0,0,0,0,0,0,0,0,0,-0.123573457272243,0,-1.20106402617292e-27,0,0.312370373306851,3.00292947621143e-28,0,0,0,0,0,0,0,0,0.0444707664619851,-1.62997204537042e-28,0,0.0959271807533693,-0.538898736970273,0,0,0,0,0,0,0,0.128961361086262,-1.65407267004005e-27,-0.450399568776921,0,0,-0.197520022382171,0,-5.66069067829848e-29,-1.02769642553574e-27,0,0,0,0,0,-1.07870789606256e-28
"7",-0.140178273998906,0.712546589562403,-0.920278740730039,2.97274853087901e-29,-0.46419482265861,0.212795897644788,0,0,0,0.0902245228476168,0,-9.21534639160202e-30,1.8257096238344e-30,9.76541863949808e-30,5.89348818191532e-31,0,0,0,0,3.45703171958983e-30,0,0,1.03183928440389e-29,0,0,0,0,-1.4478216904403e-30,0,0,0,0,0,0,3.26504804227386e-30,-0.414718169475908,0,0.183600543012366,0,0,0,0,0,2.39926715237159e-29,-0.296378752606708,0,0,0,0,0,7.658905734226e-30,0,0,0,0,0,0,0,0,0,0,0,0,0.273382635977599,0.0486220695617704,0,-1.15314188504788e-29,0,0,-2.1290513901327e-29,0,0,0,0.175868032754654,0,0,0,-1.67715886882796e-30,0,0,0,0,0,0,0,-6.00330933273713e-31,0,0,-1.27136273802487e-29,0,-0.267273418939591,0,1.38698802430441e-29,0,3.05251325944366e-30,-7.42660382946984e-30,0,0,0,0
"8",-2.07971005668146,2.42068051459446,-3.47236971674414,0.894847966936336,-2.21051022636916,0.0255113777355578,0,1.49544059734029e-27,0,0.147915469396467,0,0,4.23969826355002e-28,0,1.7489231598576e-27,0,0,3.70826502910031e-29,1.10934406002907,0,0,-2.74822498726374e-28,0,0,0,0,-3.00652856631013e-28,-3.22915837913914e-28,0,0.320521385920629,0,0,-3.8623758068035e-28,0,-1.02775770991588e-28,0,-1.05225017026609e-27,0,0,0,0,0,1.21105351018621e-28,0,0,0,0.600024565060357,2.45345565468552e-28,0,1.02170666285456,0,-1.92623886036566e-27,0,-4.01584455086462e-28,-1.58400251561148e-29,0,0,0,-5.63160805019972e-28,-0.701245643200078,0,0,0,0,6.1994088152982e-28,0,0,0,0,-1.69275210560263e-28,0,0,0,9.18295982904368e-28,0,0,0,-0.600298022770286,0.042437912900268,0,0,-1.8133802721972e-28,0,-0.146194244968766,0,1.34795969498749e-28,0,-0.118593311130008,-1.58727217012922e-28,0,-0.315910951301689,0,-1.88071368004918e-27,0.860026603218206,0,7.82914090654301e-29,-7.62349431789059e-28,2.36098214057365e-28,0,0
"9",-0.520598925990874,1.4616609672559,-1.22131969528427,0.0110751168203292,-0.594607850899258,0.904066194580405,0,-6.05510175542614e-28,0,0.251851070683929,6.61894718722221e-28,-8.79245079048713e-28,0,0,0.316732260976585,0,0,3.25273246314563e-28,0,0,0,1.65907542539698e-27,4.23671858504437e-29,2.33293820583e-28,9.37398695634107e-29,2.81640169201073e-29,0,0,0,0,0.277380772760388,0,0,0,0,-0.297018300046782,0,0,0,0,1.82480793780477e-27,-3.40187754090672e-28,2.59242577013057e-28,0,-0.375891998224383,0,0,0,4.70961855000249e-28,0.210116140061985,0,0,-0.588686544139733,0.380432560081269,0,0,0,7.91951910577684e-28,0,5.55085589927072e-29,0,0.0577423519110501,0,0,0,0,0,0,8.82613734862595e-29,0,0,0,0,0.312362821080729,0,0,0.14466760645473,-0.158461328578744,0,0,0,0,0,0,0,3.40063239720075e-28,0,2.11872146284734e-28,0,0,-0.138624235005918,0,-0.108852238163419,0.00416603392871276,0,1.82664793178332e-28,0,1.67513471528495e-28,0.0875716860528592,1.13129083115841e-28
"10",-1.6476686309922,2.11537743801823,-1.6201197519437,0.938015405254092,-0.42685538178844,0.593297590403156,0,0,0,0.224221586895136,0,0,3.60994181050376e-28,0,0,0,-0.0820775117622818,0,0,0,-1.12800907119929e-28,0,0,0,0,0,0,0,0,7.92837027468073e-29,-0.0878106237284349,0,1.66409276216583e-28,0.148620827189276,1.68870505163238e-28,2.51933951661078e-29,0,0,0,0,0,-0.704405643647431,0,0.316914310676599,1.99014709891879e-28,0,3.708168343889e-29,0,0,1.32581704740827,0,0,0,0,0,0,0,0,0,6.57462056728618e-29,0,0,0,1.23557558932168,0,-0.185861298351945,-3.22896226052455e-28,0,0,0,1.44568295069149e-28,0,0,0.40239500576168,0,0,0,0,0,0,2.57350013886742e-28,4.76255109710354e-28,0,0,0,0.499331141093793,0,0,0.134540574136638,0,-0.364181929604046,0,1.71094792039544e-28,0.0143044905988942,0,0,-8.32391178350776e-29,0,0,1.80302603936537e-29
